Geneid	VM-1	VM-2	VM-3	VM-4
YDL246C	68.33	43	76	83
YDL243C	153	165	178.75	233.5
YDR387C	1055.72	963.83	1093.23	1336.21
YDL094C	20	5.5	28	10
YDR438W	330.16	161	371.08	241.67
YDR523C	55.5	34.25	54.25	49
YDR542W	16.43	23.1	21.56	33.35
YDR492W	4204.83	1533.58	4667.83	2088.83
YDR018C	131.42	173.67	137.7	279
YDL189W	1373	686	1325	863
YDR508C	5650.17	4352.33	5821.89	5684.19
YDR462W	542	218	555.06	296.3
YDR175C	313.75	135	356	187
YDR186C	4417.21	2995.87	5004.42	4211.17
YDR150W	8935.64	7255.35	10283.1	10509.47
YDR243C	485.34	256.25	597.58	352.78
YDL182W	3181.5	542.5	3220	785.67
YDR362C	479	246	492.67	405.33
YDR232W	4336.42	2325	3955.08	3027.67
YDR158W	6887.75	4160.92	7147.33	5723.33
YDR439W	529	439	641	645
YDL206W	765.25	714.25	812.69	982.36
YDR125C	415.76	97.12	476.84	141.76
YDR338C	887.17	645.41	987.89	828.89
YDR526C	11	8	10	8.5
YDR533C	575.43	387	627.5	569.5
YDR272W	874.67	638	1116.42	922.9
YDR197W	853.5	519	1135	736
YDR512C	392.85	170	398.25	295.5
YDR489W	493.5	351.3	555.3	515.15
YDR299W	2168.25	968	2854.6	1517.25
YDL015C	4949.5	2957.5	5235.75	4135.75
YDR304C	2392.67	1678.5	2613.5	2279
YDR271C	16	20.25	27.07	24
YDL181W	553.5	433	620.67	649
YDR367W	686.07	255	714.67	425.05
YDR085C	2224	5706.71	2524.93	7753.56
YDL097C	3578.5	2845.33	4054.5	3979.68
YDL139C	192.22	147.5	283.2	243.17
YDR200C	1213.58	1056.28	1455.17	1444.58
YDR191W	152.34	121.63	185.93	173
YDR451C	335.5	118	406	168.5
YDR469W	642.1	552.17	793	737
YDR470C	710	528.25	856.5	792.75
YDR105C	1139	764.67	1192.12	1095
YDR483W	4718.83	3349.58	4864.63	4761.38
YDL123W	397.5	535	378.25	702
YDL199C	447.02	695.17	426.5	928.78
YDR505C	2284.55	2337.25	2476.46	3330.46
YDL045W-A	574.5	320	701	453
YDL045C	659	656.16	770.83	1063.77
YDR361C	1611	602	1914.03	951.57
YDR406W-A	2.56	2.5	3.5	7
YDR199W	6	1	2.07	3
YDR266C	3495.15	1997	4065.31	2832.52
YDL242W	9	7	4	9
YDR002W	2368.5	1486	2869.25	2066
YDR214W	4804.61	3102.5	4863.67	4182.92
YDR130C	245	221.17	268.25	302
YDL176W	491.5	324.31	528.06	428.25
YDR358W	757.61	1372	988.25	1891.5
YDR544C	56.83	51.27	90.79	79.66
YDR460W	206	150	222.22	217
snR84	2550.33	1606.33	2286.5	2179.5
YDR034W-B	55.89	548.5	82	868.22
YDL028C	861.06	573.15	1043	860.55
YDR061W	364.19	264.1	427	328.79
YDR060W	6890.34	2489	7911.15	3607.5
YDR169C-A	13	20	14	17
YDR363W	454.14	279.07	527.63	433.04
YDR422C	2494	1571.87	2583.5	2258.74
YDR119W	5686.99	2125.3	5641.57	2934.62
tR(ACG)D	9	4	8.6	9
YDR097C	1327.79	907.5	1487.25	1328.12
YDR042C	464.73	244.2	538.58	253.3
YDL160C	5325.62	4254.08	5954.38	5948.08
YDR425W	1171.92	1475.5	1419.75	2103.38
snR13	666.25	398	715	509.67
YDR228C	1486.21	1063.75	1852.68	1547.36
YDR319C	756.71	1022.5	840.5	1336.25
YDR471W	7891	4308.17	8989.5	5827.5
YDR089W	783.62	499	907.58	643
tD(GUC)D	1.75	0.88	1.5	2.45
YDR275W	252.25	110.25	285	209
YDR043C	479.31	741	621.17	994.12
YDR129C	5352.5	6726.42	5549.58	9035.92
YDR136C	8	7	5	3.08
YDL066W	8509.31	5202.83	9281.48	7090.17
YDR302W	537	317	687	483
YDR239C	1195.35	691.57	1272.96	950.66
YDR539W	1642	1277	1628.06	1717.85
tK(CUU)D1	1	0	1	6.12
YDL125C	1956.17	1569.04	2104	2101.67
YDR493W	681	301	806	431
YDR101C	3604.5	1338.25	3961.35	1919.08
YDR182W-A	27	23.5	31	21.5
YDR212W	3439.42	1872.65	3422.4	2654.17
YDR476C	1742.5	1632.33	1553.33	2081.5
YDL131W	4306.25	2005.67	4470.17	2767.67
YDR458C	1016.38	724.17	1122.6	989.71
YDR081C	2730.3	1747.25	3137	2435
YDL071C	72	32	75	64
YDR113C	355.39	374.74	411.67	510.86
YDR168W	2792.47	2508.92	3257.38	3493.32
YDR520C	854.33	706.17	995	1083.67
YDR307W	1400.94	1094.25	1587.24	1630.39
YDR265W	229	206.5	294.58	294
YDL076C	519.5	463.08	579.5	691.94
YDL006W	358	291.25	398.5	397.75
YDL086W	3345	2251.25	3426.5	3007.5
YDR238C	8644.83	6198.52	9496.95	8584.75
YDR077W	97191.67	58578.21	101020.54	69752.63
YDR381C-A	269	143	321.42	223
YDL023C	4.1	1	3	6
YDL083C	4465.33	2024	4777.06	2752
YDR036C	3318.5	1732	3480.27	2298.92
YDR057W	891.68	699.25	1024.25	948.7
YDR513W	2594	1824	2898.5	2528.92
YDR487C	3423	2258	3895.42	2986.75
YDR066C	135	87	132	102.17
YDR352W	760.03	413.25	878.25	534.56
YDR278C	11.75	13.75	2.25	1.75
YDR079C-A	86	33	92	57
YDR204W	1094.06	920	1316.06	1461
YDL247W-A	137	123.5	158	188
YDL024C	44	104.12	51.5	137.03
tA(AGC)D	0	1.1	1.1	0.2
YDR109C	486.17	353	486.25	484
YDR466W	2300.83	1646.75	2552.5	2326.15
YDR427W	3059.5	2474.42	3836.83	3798.25
YDL044C	526	354.25	730.27	531.5
YDL079C	278.82	224.29	293.97	325
YDR193W	0.1	0	0	1
YDR305C	534	380	686	581.25
YDR377W	1475.07	1037	1701.12	1486
YDR219C	485	334.64	610.86	501.5
YDR416W	699.28	374.73	807.85	569.87
YDR365C	1166.28	510.5	1324.2	710.76
YDL233W	733.67	953.25	816.25	1384.5
YDR287W	453.33	334	500.5	484.2
YDR448W	485.4	398	546.67	588
YDR180W	2775.93	773.89	3204.42	1070.33
tF(GAA)D	25	3	19	14
tT(AGU)D	35	31	28.21	36
YDR294C	4701.91	3144.33	4896.08	4456.43
YDR198C	971.42	500	1092.13	795.33
YDL163W	0	0	1	1
YDL119C	409	527.5	554	760.25
YDR501W	113.33	81	150.75	148.31
YDL214C	84	121	99.44	176
YDR264C	3047.58	1787.23	2991.06	2547.5
YDR343C	2690.42	1587.83	2970.94	2306.94
YDR373W	811.12	679	894.1	978
YDR354W	1822.17	1163.33	1940.7	1603.25
YDR246W	1070	1121.75	1375.5	1594.57
YDR428C	576	293.25	734	455.5
YDR157W	362.17	207.5	334.25	257.87
YDR316W	538.01	222.11	717.08	303.55
YDL142C	549	709.75	663.5	1048.5
YDR253C	34	48	42.17	55.11
YDL112W	6234.5	2833	6679.83	3918.28
YDR545W	403.34	445.48	508.01	682.58
YDL187C	58.25	33	72	58.25
YDL138W	2197	1602	2293.92	2070
YDR528W	1907	745.5	2453	1150
YDR284C	1157.33	967	1350.44	1352.58
YDR050C	7740.58	4873	7776.68	6592.58
YDL010W	257	479.3	293	678.12
YDL065C	541.61	353.87	683.88	478.12
YDR349C	5252.72	4463.72	5587.31	5937.64
YDL098C	274	196	376	300
YDL234C	2398.75	7747.33	3114	10204.76
YDR118W	346.01	233	466.29	379.12
YDR118W-A	7	4	10	8.5
YDR159W	3233.81	2412.33	3968.36	3609.13
YDR111C	447.33	304.11	443.78	414.28
YDR128W	2755.05	1498.58	2830.5	1977.03
YDL034W	5.5	3.5	3.8	9.25
YDR065W	260.5	171.28	308.27	251.25
YDL004W	1683	1021	1987.83	1329
YDR024W	193.82	108.75	247.5	158.75
YDL171C	19914.85	10371.52	20043.07	13734.29
YDR083W	1491.7	529.67	1848.08	734.75
YDR457W	19466.33	12001.04	20410.51	16430.69
YDR014W	489.63	274.1	542.75	401.2
YDR206W	2512.33	1453.08	2633.18	2065.5
YDR478W	168	90	269.17	118
YDR169C	1161.92	1322.88	1388.5	1883.57
YDR115W	885.8	352	1006	489
YDL159W-A	0	0	0	0
YDL232W	205	96	197	157
YDL240C-A	0	0	1	0
tE(CUC)D	6.75	1.75	2.25	1.75
YDL152W	2	0	0	1
YDR432W	6856.54	6588.15	6947.17	8145.92
YDL022C-A	0	1	0.5	3
YDL114W-A	13	7	12	6
YDR410C	1278.25	925	1388	1270.92
YDR464C-A	0	0	0	2
YDL072C	1501	2265.75	1543.58	3183.83
YDR053W	1	4.27	2	2
YDL012C	1686	1666.81	1961.5	2305.33
YDR482C	117.5	115	171	134
YDL070W	1796.96	3519.3	2074.53	4604.83
YDR064W	9621.55	4821.5	10080.17	6497.67
YDL135C	1334.25	2745	1663	3688.26
YDL077C	1734.92	1309.17	1826.35	1897.87
YDR354C-A	1	0	0	1
YDL033C	732.25	350	781.5	509.75
YDL031W	3285.22	1253.5	3825.33	1810.1
YDR398W	2419.67	990.95	2608.88	1438.33
YDR326C	6336.82	4395.33	6610.75	5970.53
YDL052C	2003.06	1180.25	2113	1583.12
YDR536W	22.5	231	21.17	317
YDR397C	166	85	182	151.25
YDL116W	1931.82	1275	2125.1	1812.4
YDR028C	5603.62	4304.58	6389.12	5997.12
YDL007W	1618.06	1203.5	1940.25	1738.42
YDR236C	461	389	517.33	553
YDR011W	7774.79	5272.77	8324.45	7282.89
YDR155C	8036.83	6423.58	7605	8297.63
YDR414C	707.89	416	693.83	610.46
YDR026C	783.19	514.56	959.5	784.88
YDL073W	1966.4	1277.72	2084.3	1927.58
tY(GUA)D	0	0	1	1
YDL115C	287	258	334.04	337.5
YDL145C	14956.52	8940.25	15549.46	12141.67
YDR203W	3	1	2	0
YDL104C	194.22	94.53	226.5	137.5
YDL149W	406	512	462.56	722.08
YDR231C	309.75	188.23	357.33	286.53
YDR045C	139	37	113	57
YDL075W	1768	728	1942.17	1028.75
YDR415C	863.3	596	905.47	860.5
YDR339C	1259.38	701.88	1485.25	997.1
YDL213C	2025.5	972	2779	1395.5
YDR096W	2748	2110.98	3209.78	2969.5
YDL019C	2503.19	1665.54	2550.02	2259.54
YDL022W	3610	8385.05	3541.5	10591.36
YDR413C	11.5	6	9	11
YDR391C	823	906	970	1340.03
YDR091C	6197.52	3334.93	6911.58	4460.42
YDR240C	720.68	668.58	837.79	917.56
YDL244W	122.67	85.75	161.89	136.58
YDR179C	54.17	24	60	36.75
YDL165W	624.75	393.25	718.25	539
YDL140C	40008.55	25047.74	41238.71	31781.92
YDR120C	2866.5	1280	3523.17	1817
YDR003W	122.75	211.5	134	231.5
YDR499W	609.67	487	753.9	715.92
YDR166C	2891.03	2129.44	3179.92	2925.14
YDL092W	516.67	267	622	425.08
YDL041W	4.42	1	3.75	4.86
YDL241W	448	312	561	496
YDL082W	8199.87	3951.67	8792.75	5322.01
YDR277C	995	750	1094.44	984.08
YDR291W	1243.5	652.83	1401.43	976.14
YDR475C	978.72	613.55	1080.5	891
YDR244W	770.91	466	876.17	643.25
YDR407C	3424.11	2847.89	3732.62	3868.73
YDR382W	3688.67	1911.04	3464	2383.58
YDR102C	60.44	48.35	79.55	78.22
YDL188C	1920.96	1372.6	1909.29	1716.67
YDR405W	1379	838	1652	1225.25
YDR443C	3879.97	3159.75	4221.64	4356.83
YDR059C	1246.33	1813.2	1484.25	2506.58
YDR144C	3352.17	3013.33	3528.07	4109.21
YDL157C	604	323.5	714.96	460.5
YDL058W	4494.25	2635.61	4805.61	3716.25
YDL096C	4	2.25	6	2
YDL155W	980	730	1136	1002
YDR147W	576	415.45	681	623.58
YDL191W	6651.08	3795	7415.12	4881.67
YDL128W	3329.42	897.67	3484	1290.1
YDR310C	3248.63	2564.17	3589.91	3798
YDL160C-A	240	193	338	263
YDR127W	14578.38	7425.32	14542.37	9794.51
YDR497C	3896.25	3057.39	3978.83	4153
YDL162C	7	2.5	4	7.12
tS(AGA)D3	3	2	2	2
YDR201W	72	64.75	86.5	98
YDR163W	268.04	172	339	279.33
YDL146W	431.5	464.5	436.99	609.75
YDR363W-A	665.33	445	748.75	669.33
YDL221W	35	80	58.75	116
YDL089W	803	570	1025	876
YDR385W	33363.86	17839.76	32166.98	22513.56
YDR331W	1500	988	1859.11	1345.03
YDR196C	445.71	293	550	434.42
YDR116C	1433.38	721	1768.5	1003.73
YDR001C	3317.75	4211.21	3397.35	5911.12
YDL230W	397.75	493.25	449.25	699.5
YDR160W	625.83	419.25	603.65	664.85
YDR123C	546.33	828.11	682.22	1251.11
YDR322W	3731.51	1665.12	1798.85	818.25
YDR040C	2821.03	3977.07	2907.95	5569.06
YDR025W	6954.1	3476.23	7321.21	4683.37
YDR046C	2469.58	1453	2413	1850
YDL057W	195	208.75	208.33	295.75
YDL248W	1120.76	1230.83	1209.36	1696.53
YDR008C	771.88	205	770.83	285.52
YDR029W	0	0	0.5	0
YDR485C	1395.14	927.83	1752.3	1384.39
YDR408C	590	283	605	383.06
YDR038C	3656.13	4220.25	3824.94	6008.1
YDL204W	1072.75	940.92	1121.08	1332.07
YDR019C	1199.12	527	1366	708
YDR477W	1660.25	1078.33	1644	1430
YDR254W	228.55	153.85	283.52	260.88
YDR514C	534.25	243.17	674.62	328
YDR296W	561	241	701	305
YDL216C	226	194	308.65	300
YDL100C	5804.25	4256.25	6426.2	5746.17
YDL068W	7	15.5	10.25	15
YDL026W	0	1.05	0.05	0.67
YDL124W	3258.92	3772	3714.25	4935.5
YDL227C	249.21	778.75	232	1080.1
YDL111C	1285.2	758.5	1337	987.27
YDR324C	2993.83	983.59	3422.63	1527.92
YDL170W	964.5	706.25	981	937
YDR317W	115.67	118.17	125.21	147.79
YDR436W	1376.54	1702.18	1409.53	2178.66
YDR208W	3485.03	2514.31	4166.44	3763.83
YDR386W	229.42	187.5	260	266
YDR504C	450.5	519.69	563	785
YDL220C	900.25	726.08	897	957
YDR396W	26.5	7.5	29.7	17
YDR258C	3074.52	2259.29	3394.32	3015.64
YDR176W	930.95	648.73	1022.18	907.31
YDL099W	926	552.92	1125	835.33
YDR380W	254.58	2470.5	208.33	3539
YDL110C	719.88	1241	912.7	1699.5
YDR148C	4157.5	3032.37	4572.91	4166.48
YDL201W	1159.5	499	1370.5	741
YDL107W	148.06	74	194.13	97.5
YDR515W	827.07	382	1051	608
YDR133C	1496	176.5	1552.61	239.61
YDR378C	441	259	524	428
YDR473C	339.64	240	418	393
YDR403W	140.06	62.35	143.31	94
YDR268W	430.38	292	520.5	401.83
YDR409W	2251.6	1532.52	2420.93	2008
YDR173C	123.5	83	125.83	136
YDR187C	5.08	4.25	5.32	3
YDR389W	4280.81	3538.77	4882.73	4758.25
YDR417C	9	6	12.33	5
YDR165W	2204.64	934.4	2464.53	1396.23
YDL113C	807.75	966	830.2	1419.12
YDR426C	5	2	7	5
YDR521W	1	0	0	0
YDR086C	1388	483	1587.25	706.75
YDL021W	264.5	261	282.56	369.5
YDR023W	6108.03	2816	7094.14	4245.37
YDR394W	4032.25	3633.5	4691	4965.42
YDR320C-A	1031.5	884	1144.33	1168.08
YDR003W-A	126.75	169.5	134.25	273.75
YDR183W	306	184.08	420.83	285
YDR245W	1599.5	820.5	1872.07	1230
YDR431W	7	1	3	7
YDL154W	343.5	190	339.25	285.46
YDL184C	391.5	231	441	310
YDR153C	2031.11	1275.15	2421.33	1877.39
YDR014W-A	8.5	3	16.53	8
YDR434W	1774.03	1469.83	1900.25	2017.79
YDL002C	280	168.5	334	230
YDR225W	462	253.5	456.17	361
YDR418W	8680.31	4586.5	9698.75	6215.75
YDR224C	1908.17	986.29	2104	1397.5
YDR502C	2777.33	1884	2788.83	2633.5
YDR447C	3962.67	1756.23	4452.5	2362.5
YDL039C	10358.4	4726.31	12005.56	6655.95
YDL225W	1885.39	1201	2212.75	1798.07
YDR259C	1147.42	669.17	1476.55	1028.17
YDR495C	1126.93	702.05	1306.46	1059.71
YDL151C	1	0	0	0.25
YDR357C	477.43	237.5	567	363
YDR370C	866.17	509.78	937.5	715.06
YDR298C	3014.18	1734	3117.11	2322.31
YDR276C	2394.83	1688.5	2669	2248.58
YDL185C-A	3	0	0	0
YDR545C-A	1	2.21	1.35	3.98
tM(CAU)D	1.6	0	2.2	0.25
YDL247W	81.5	50.07	111.83	65
YDR406W	1049.29	835.37	986.43	1192.12
YDR273W	66.5	43	82.39	73
YDR269C	5	0	5.12	8
YDR453C	251.5	179	261.14	281
YDR383C	49.28	150	59.25	198
YDR375C	853.5	328.87	1012	507.72
YDL161W	2117	2033.67	2751.83	2944.53
YDL051W	2299.75	783	2563.5	1273
YDR084C	910.67	421.33	962.33	529.67
YDL056W	1715.75	1181.25	2004.67	1728.39
YDR344C	89	48	70.5	55
YDR320C	2088.95	1865.46	2393	2709.15
YDR221W	1507.43	1163.49	1634.69	1666.72
tI(AAU)D	0	1	1	2.1
YDL032W	6.06	16	11.06	6
YDR456W	3288.64	1973.75	3438.28	2718.17
YDL036C	838.17	319.25	996.28	485.3
tL(CAA)D	53.16	45.93	47.91	40.36
YDL217C	460.6	260	489	374
snR63	4010.5	2811	3617	3450.39
YDR334W	2184.45	1389.12	2255.15	1947.89
YDL049C	89.11	75.06	102.22	101
YDL164C	586.32	658.11	566.25	904.39
YDR384C	842.5	143	797.75	199.5
YDR149C	2	0.11	1.08	2.33
YDR093W	3916.45	2081.5	3868.25	2966.65
YDR071C	1656	985.58	2021.75	1450.33
YDL143W	2693.75	1546	2988.33	2241.5
YDR032C	1800	1661.75	2005.5	2323.42
tR(UCU)D	0.75	1.27	1.9	1.45
YDR063W	996.92	650.86	1240.67	889
YDL166C	115	41	163	76.17
YDR004W	594.35	399	701.31	560.35
YDR151C	1256.5	795.83	1504.19	1127.11
YDR037W	18967.34	10762.75	20704.03	14843.04
YDL175C	717	474	813.33	704
YDR286C	72	30	91	50
YDR172W	6160.93	3152.55	6720.33	4235.5
YDL174C	4332.08	3820.5	4424.25	5604.56
YDR080W	1435.64	987.47	1634.5	1432.55
YDR503C	230	187	227.25	305.17
YDR069C	1487.97	1590.83	1758.5	2307.09
YDR047W	638.42	214.06	576.83	292.1
YDR215C	13	29	11	36.44
YDR267C	601.27	300	684.1	432.03
YDR142C	665	436.5	739.67	659.25
YDL212W	3326.5	1904	3641	2475.5
YDR249C	351.1	923.12	376.54	1343.12
YDL209C	188.5	100	225.12	156.12
YDR044W	2175.83	1042.5	2470.75	1402.83
tK(UUU)D	31.48	19.33	23.17	25.33
YDR311W	1171.08	1342	1475.77	2111.83
YDL159C-B	4	6.38	6	3
YDR222W	883.92	1427	1044.77	2231.85
YDR510C-A	3	2	2.25	2.25
YDR401W	40.5	20.5	55.5	25
YDR207C	1637.12	638.65	1865	976.98
YDL005C	1407.11	796	1843.69	1187.17
YDR295C	1449.02	1086.5	1687.77	1689.93
YDR543C	1	0	0	2
YDL208W	1931	818	2464.75	1182.5
YDR135C	10944.41	7176.56	11599.17	9730.01
YDL114W	12.08	24	38	32
YDR247W	1885.12	1431.72	1937.13	1981.2
YDL197C	448.5	377.17	556.5	578
YDR229W	432.93	371.12	465.08	458.58
YDR095C	9	5.07	10	6.14
YDR027C	947.11	811.08	1038.67	1079.92
YDL106C	924	734.38	1161.42	1019
YDR404C	1156.38	812	1196.55	1127.97
YDR256C	103.42	56	94.5	106.26
YDR518W	1457.42	1302.33	1622.23	1869.83
YDR055W	4955.84	6059.29	5476.51	7590.27
YDL087C	274.25	125	267	178
YDR177W	2410.92	1759.42	3076.67	2518.67
YDL014W	5491.25	2415	5341.33	3089.25
YDR289C	355.72	192.19	431.08	285.67
YDL159W	825.5	732.5	971.69	1002.06
YDR532C	258.48	140.33	244.5	194.36
YDR137W	1665.68	1303.73	2073.67	1912.92
YDL153C	1145.75	327.42	1307	493
YDR393W	428.17	194.4	522.68	286
YDR506C	430	357	459.8	491.81
YDL219W	295	174	362.9	249
YDL090C	497.11	280	636.2	501
YDR033W	17070.22	913	17809.33	1328.79
YDR035W	2824.06	1790.33	2937.58	2471.25
YDR332W	637.25	388.17	740.4	536.01
YDR510W	2051.12	1374.5	2307	1804
YDL055C	3950.29	4168.23	4297.83	5946.12
YDR480W	223.36	1981.5	282.43	2820.25
YDL103C	1396.38	792	1416.6	1155.14
YDL085C-A	181	84	194	178.5
YDR350C	925	1420.5	1051.45	1939.2
YDR342C	2906.4	1893.83	3232.03	2711.88
YDR087C	553	172.17	657	252
YDL236W	1419.17	812	1404.22	1078.49
YDR012W	10223.25	5053.05	9656.96	6423.83
YDL121C	524.11	203	603.5	275
YDR525W-A	475.75	655.75	465	918
tG(GCC)D2	19	11	22	17
YDL190C	5045.25	4032.29	5416.79	5554.21
YDL047W	1882.33	1236	2091.58	1730.25
YDR099W	6871.86	5524.12	8434.62	7635.69
YDR092W	175	92.33	211.17	101.07
YDR164C	1889.98	1376.58	2091.83	2071.64
YDR058C	288.33	262	375	373
YDL020C	1520.13	1454.42	1828.09	2063.83
YDL025C	1686	1491.33	1919.75	2069.4
YDR374C	77	119.47	90.33	155.33
YDL207W	1414.25	858	1552	1230.9
YDR270W	1412.56	710.81	1290.49	1026.07
YDR152W	1358	799	1812.83	1081
YDL148C	3330.35	1386.25	4173.45	1973.78
tI(UAU)D	157.5	102.33	192.33	123.67
YDR379C-A	238	503	308	758.33
YDR218C	9.29	13.75	8.36	17.43
YDL018C	494	335.5	603.5	441
YDR507C	2008.62	934	2306.55	1275.71
YDL003W	158.58	129.1	220.22	197
YDR524C-B	5113.25	3017	5056.75	3905.17
YDR371W	624.24	412.5	706.11	627.79
YDR359C	2437.03	1734.5	2666.72	2433.08
YDL180W	1085.75	718.75	1165.96	1001
YDL133W	630	656	757.29	965.08
YDR335W	3512.63	3202.59	3605.74	4699.92
YDR351W	2198.2	1971.43	2565.97	2850.77
YDL150W	824.25	282	848	372.5
YDL177C	185	140	270.1	193
YDR171W	1204.15	2271.29	1462.02	3090.33
YDR364C	725.33	411	866.75	628.86
YDR309C	7933	10514.25	9064.5	14219.83
YDL239C	615.1	712.2	701	1017.75
YDL228C	8	0	9.17	2.5
YDL156W	371	261	391	403.25
YDL016C	243	170.25	253.5	185.7
tX(XXX)D	8.06	5.25	5.75	4.75
YDR524W-C	0.25	0	0	0
YDL085W	41.58	131.5	37.85	184.08
YDR300C	1486.67	673	1871.5	1036
YDL168W	2896.75	2028.5	3334.14	2753.7
YDR360W	12.95	5	9.25	4.12
YDR195W	1175.42	684.09	1477.17	1028.04
YDR321W	3863.79	1695.33	3677.25	2276.68
YDR237W	838.45	334	1068.87	475.11
YDL127W	917.67	6705.17	1123	9234.5
YDR107C	728.14	191	803.83	280.49
YDR472W	715.1	423.17	878.2	632.17
YDL030W	416.67	213	504.43	309.17
YDR468C	352.17	325.5	477	430.5
YDL084W	7179.23	4295.5	8022.83	6039.56
YDL203C	1303.43	887.25	1322.12	1140.14
YDL025W-A	1	0	0	1
YDR285W	428.17	547.06	526.17	755.33
YDL229W	31592.92	14493.08	30953.41	18412.25
YDR329C	996.46	916	1307	1461
YDR034C	1551.43	977.1	1743.31	1366.8
YDR009W	411	244	401	334.17
tS(AGA)D2	11	7.2	6.3	9.2
YDR488C	193.9	107	169	165
YDR103W	3737.53	2990.12	3978.62	4090.83
YDR336W	334	148	417	222.46
YDL101C	368.25	498.21	504.5	710
YDR162C	477	419.5	607.09	583.67
YDR312W	1070.49	411	1271.18	575.6
YDL061C	3247	1615.5	3403.5	2107.33
YDL040C	4490.25	2197.33	4759.71	3149.25
YDR145W	2282.82	1673.81	2881.17	2443.95
YDR124W	258.83	2536.67	339.5	3628.33
YDL231C	1963.33	1344	1966.83	1751
YDR190C	2652	1404.3	3176.92	2027.58
YDL064W	281	134	264	183
YDR463W	2082	1792	2295.79	2487.75
YDR491C	1	0.33	2	0
YDR449C	601	242.21	626	363
YDL035C	2188.5	1532.47	2324.85	2122.6
YDR074W	2895.52	3939	3229.92	5479.38
YDR525W	0	2	0	0
YDR257C	575.57	364	565.67	573.68
YDR402C	44.54	21	51	44.42
YDR450W	6833.58	3498.75	7575.33	4541
YDR376W	537	335	599.56	475.45
YDR161W	746.25	236	908.83	378.12
YDR090C	822	647	755.1	865.5
YDR189W	2690.75	2382.75	2912.72	3340.83
YDR524C	2540.3	1909.75	3074	2721.17
YDL237W	3007.25	2016	2879.56	2682
YDR188W	3023.47	1805	3206.56	2640.92
YDL133C-A	208.5	91	203	119
YDR531W	1382.5	954.84	1647.17	1427
tG(GCC)D1	0	0	0	0
YDR226W	4962.13	2719.67	5430.12	3747.25
YDL054C	1420	979	1417.22	1404.62
YDL205C	2287	1170	2509	1568.83
YDR537C	3	4.25	5	5
YDR496C	3824.17	1356.67	4387.46	2173.87
YDR313C	425.5	295.5	471	444
YDL108W	317.5	268.5	384.67	334
tV(CAC)D	22.5	18	28	24.5
YDR340W	1	0	1	0.14
YDL147W	4300.75	3481.96	5048.5	4691.69
YDL081C	3900.58	2036.58	3548.71	2444.08
YDR283C	4770.94	4246.5	5333.03	6182.25
YDR261C	2287	2923.75	2466.26	4189.04
YDL211C	296.5	398.25	377	536.5
YDL074C	1782.81	1106.05	2176.25	1585
YDL091C	915.5	888.24	1103.8	1235
YDR346C	2707	1396	3154.02	1961.42
YDR072C	3006.75	2835.08	2940.33	3930.83
YDR242W	768.43	1020.5	893.2	1530.28
YDR323C	209.63	113.75	272.88	179.37
YDR486C	1612	1864	2214.2	2633.58
YDR420W	13924.95	11731.28	15016.21	15862.38
YDL122W	3217.91	2001.83	3642.92	2766.22
YDR390C	1818.5	1302.17	2167.48	1870.11
YDR481C	2357.83	1688	2431	2317.33
YDR318W	109.5	87.07	143.66	140.22
YDL105W	372.5	248	516	327.92
YDL141W	1905.32	1704.75	1706	2193.42
YDR400W	757	538.55	797.5	831.5
YDR522C	1.5	3.38	3.21	3
YDL173W	1183.25	1215.32	1482.75	1779.33
YDR279W	676.33	482.07	846.44	677.91
YDR281C	105	76	98	105
YDR213W	609.89	363.47	649.36	554.82
YDR179W-A	386	277.33	485	403.42
YDR330W	1259.4	1668.83	1449.58	2283.25
YDR106W	35.91	22.5	52.31	39
YDL178W	1388.83	649.25	1490	955
YDR484W	1112	837.19	1354.92	1202.17
YDR308C	609	274.3	748	400
YDL192W	4677	3163.45	5564.5	4222.5
YDL202W	799	329	951.25	475.82
YDR146C	131.33	136.48	160.7	162.54
YDR241W	75.12	26.12	72	18.2
YDL158C	110	48.5	130.83	96.5
YDL185W	19487.37	11890.86	18663.48	15476.75
YDR251W	2856.27	6002.06	3069.57	8455.68
tL(UAA)D	2	1	6.33	4.14
YDR192C	731.21	403.98	674.33	581.93
YDR368W	1232.58	1119.25	1407.25	1534.75
YDR494W	1397.25	667.5	1872.75	995.83
YDR399W	3126.42	762	3495.12	1052
YDR070C	206.04	233	240	297
YDR138W	1507.69	923.31	1611.46	1369.1
YDR031W	113.25	53	152.5	83
YDR255C	559	845	775.65	1202.67
YDL060W	2400.94	886.67	2773.88	1342
YDR048C	7.5	3	5	6.08
YDR067C	405	323	430.58	422.5
YDR126W	607.75	512	721.2	673.67
YDR315C	292.5	324	366	436.33
YDL126C	11610.28	7923.91	12346.39	10919.72
YDR262W	776	726.22	826.33	906
tQ(UUG)D3	3	0	1.77	1.03
YDR345C	15692.34	8466.09	15870.11	11366.7
YDR079W	474.5	298.5	615.5	362
YDR433W	671.25	608.25	685.75	805.25
YDL144C	1591.25	1067.12	1658.71	1469.87
YDR306C	825.62	663.5	917.46	1001.75
YDR292C	1916.85	1182.25	2210.75	1735.73
YDL009C	11	3.44	9	4.5
YDR290W	1.11	0	0	1.5
YDR282C	262.4	90	243.21	107.75
YDR170C	17370	10894.15	17893.69	13840.63
YDR174W	383.63	578	395.5	810.75
YDL218W	40.25	67.07	55.25	100.57
YDL062W	2	1	1	7
